GeneName	pvalue	Le-IR	Ob-IR	Ob-Le	LE	OB	IR	padj	sigCluster
DCUN1D3|NM_173475	DCUN1D3	0.00555916316295306	3.74566403751842e-05	0.00115926837258285	0.00226542773293807	2.10801387736237	3.05852319546268	3.79692875676716	0.538279977696779	le_dn
CD248|NM_020404	CD248	0.00735711128241235	0.000180779553054599	0.0026446697482399	0.0109856872820962	6.85439393678079	8.46651814727724	9.15479350980405	0.538279977696779	le_dn
LIME1|NM_017806	LIME1	0.00735711128241235	0.000180779553054599	0.0026446697482399	0.0109856872820962	3.32578097660771	2.16449710911757	1.52626631590066	0.538279977696779	ir_dn
FCN2|NM_004108+NM_015837	FCN2	0.00762461365191532	0.0239193434131076	0.00646588770262789	0.000239979697121074	3.33096988454956	1.40810245804415	2.23828364541885	0.538279977696779	ob_dn
AKR1C3|NM_001253908+NM_001253909+NM_003739	AKR1C3	0.0101740787945724	0.000600114326866914	0.0159537369136089	0.0159537369136089	8.67809585103107	9.6851105725841	9.97144067039637	0.538279977696779	le_dn
PDLIM2|NM_021630+NM_198042+NM_176871	PDLIM2	0.0102020679895842	0.00065028331198238	0.0104995497421461	0.0174164868805425	3.85574629626593	4.5250401312244	5.45283485292227	0.538279977696779	le_dn
ARL6IP6|NM_152522+NR_024526	ARL6IP6	0.0116721519378897	0.00132580203814108	0.00563823729349762	0.0788297866491643	3.39392773182619	2.82184827388371	2.13925960626134	0.538279977696779	ir_dn
LINC01402|NR_126557	LINC01402	0.0137637867330504	0.00166978527373257	0.0293733094809834	0.0293733094809834	2.17842035512454	2.91411322119551	4.12492960299153	0.538279977696779	le_dn
GNPDA2|NM_138335+NM_001270880+NM_001270881+NR_073094+NR_073095	GNPDA2	0.0139925425088317	0.00265585540558354	0.00662292153774852	0.153852200020508	4.06516166409461	3.9165451213992	3.20632020301666	0.538279977696779	ir_dn
CLTB|NM_001834+NM_007097+NR_045724	CLTB	0.0148643253485681	0.419171137512852	0.00321638436776801	0.0178657339257838	6.22132447655217	5.60635284032935	6.23940494269883	0.538279977696779	ob_dn
NEDD9|NM_006403+NM_001142393+NM_001271033+NR_073131+NM_182966	NEDD9	0.016682306814097	0.00281812139500498	0.057323749685042	0.024995888114514	2.47782569204804	3.33695491515515	4.03025122626407	0.538279977696779	le_dn
LINC01230|NR_110643	LINC01230	0.0180162073751063	0.00371592762095714	0.0349703304423477	0.0515511972431913	4.37952287798358	3.94494784451712	2.02575889427091	0.538279977696779	ir_dn
LUC7L3|NM_006107+NM_016424	LUC7L3	0.0182152794753827	0.00764921760456732	0.00764921760456732	0.408652120098834	5.71270163635338	5.55411820221304	4.95001149088215	0.538279977696779	ir_dn
MTA3|NM_001282755+NM_001282756+NM_020744	MTA3	0.0182152794753827	0.0302001843805097	0.00395029690564018	0.408652120098834	3.59941566993978	3.72700401361689	2.46310752242446	0.538279977696779	ir_dn
HNRNPA1|NM_002136+NM_031157	HNRNPA1	0.0182152794753827	0.00764921760456732	0.00764921760456732	0.408652120098834	4.31547523443715	4.16307810633822	3.47990408737405	0.538279977696779	ir_dn
KLF3|NM_016531	KLF3	0.0182152794753827	0.00764921760456732	0.00764921760456732	0.408652120098834	3.13004636072815	3.00310674094993	2.0717326871746	0.538279977696779	ir_dn
CIR1|NM_004882	CIR1	0.0200537189359296	0.00627057075308096	0.0180508427984485	0.165132225763196	5.08833771340827	4.82066750589808	4.1552414454197	0.538279977696779	ir_dn
SKIV2L2|NM_015360	SKIV2L2	0.0207828661686937	0.0196669732863179	0.00678709733229755	0.786359961478991	3.159050976526	3.21308991620116	2.50024021031044	0.538279977696779	ir_dn
PACRGL|NM_001258346+NM_001258345+NM_145048+NR_047661+NM_001130727	PACRGL	0.0207828661686937	0.0110242880845392	0.00942993148608566	0.786359961478991	3.00848638481097	2.92585939484991	2.17847224204739	0.538279977696779	ir_dn
VBP1|NM_001303544+NM_001303543+NM_003372+NM_001303545	VBP1	0.0207828661686937	0.0110242880845392	0.00942993148608566	0.786359961478991	5.70655125524851	5.65310367692053	5.01095560557227	0.538279977696779	ir_dn
VMA21|NM_001017980	VMA21	0.0211282798811833	0.0150292740162527	0.00819505416860093	1	3.81643530385993	3.90529111096481	2.82775674325306	0.538279977696779	ir_dn
HMGB2|NM_001130689+NM_001130688+NM_002129	HMGB2	0.0228176760001214	0.00712241844832506	0.0384960051398908	0.0993136603330712	5.75393770116444	4.85498402514378	4.22340333216669	0.538279977696779	ir_dn
INMT|NM_006774+NM_001199219	INMT	0.0242580134542823	0.00770822289514243	0.171140725755452	0.0285224964663596	0	2.47322780436826	3.46679790044609	0.538279977696779	le_dn
SFRP4|NM_003014	SFRP4	0.0245071293767913	0.00788925592262417	0.172547196874397	0.0290479516061675	4.1227369425918	6.68742533173561	7.28687496222596	0.538279977696779	le_dn
FRA10AC1|NM_145246	FRA10AC1	0.0266857283922225	0.01618876960795	0.0182982580471864	0.400597328300252	3.71191784544596	3.5784749782831	2.87548712846745	0.538279977696779	ir_dn
SAA1|NM_001178006+NM_000331+NM_199161	SAA1	0.0285045285541818	0.0117685616087362	0.263120003285793	0.029354111152359	11.4874117494609	13.0126009690515	13.8903583392324	0.538279977696779	le_dn
SAA2|NM_030754	SAA2	0.0285045285541818	0.0117685616087362	0.263120003285793	0.029354111152359	7.14027995138373	10.1130147876263	10.6650126216502	0.538279977696779	le_dn
MCM6|NM_005915	MCM6	0.0306150446302269	0.0488458160436967	0.0145451893031357	0.67857498854399	3.04761537844365	2.96921236018464	2.33289799860508	0.538279977696779	ir_dn
CDV3|NM_001134422+NM_001282762+NM_017548+NM_001282765+NM_001282763+NM_001282764+NM_001134423	CDV3	0.0318154837346918	0.0386215375470549	0.0177661803219047	0.868840918690784	5.6990856842552	5.72899764033456	5.05611949668443	0.538279977696779	ir_dn
ANGPTL4|NM_139314+NR_104213+NM_001039667	ANGPTL4	0.0322555249522034	0.0166203827132119	0.37650537005963	0.0287240505381217	7.92697008134611	8.8917428080348	9.11303393883095	0.538279977696779	le_dn
